session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5e9d0ca0687af22479fa7f0b,5e9bf01f1c2490104b3f60ff,AWAITING REVIEW,2020-04-20 2:44:53,2020-04-20 3:43:34,3521.142,28,0,0,100,,34AE75B1,,Mexico,,Spanish,,,
5e9d0cb8e09b9623fd5d49f4,5e9d01036ee4bf228f10547a,AWAITING REVIEW,2020-04-20 2:45:23,2020-04-20 3:17:17,1914.677,23,0,0,100,,34AE75B1,United States,United States,Part-Time,English,United States,Female,Yes
5e9d0cbf6698821f018e7206,5e9c849fb7e3501af2c4e655,AWAITING REVIEW,2020-04-20 2:45:33,2020-04-20 3:52:07,3993.802,19,0,0,100,,34AE75B1,United States,United States,Unemployed (and job seeking),English,United States,Male,Yes
5e9d0d1cd5b083247191e6be,5e9cfde977008723ec85506c,AWAITING REVIEW,2020-04-20 2:49:04,2020-04-20 3:18:43,1778.951,32,0,0,100,,34AE75B1,United States,United States,Full-Time,English,United States,Male,No
5e9d0d56b5e15c241bef5a95,5e9d009318d39b2339c483a4,AWAITING REVIEW,2020-04-20 2:48:19,2020-04-20 3:30:18,2518.53,19,0,0,100,,34AE75B1,Lebanon,,Part-Time,English,Australia,Male,Yes
5e9d1dc62b6b2e24d6792093,5b3d32794915d00001827df7,AWAITING REVIEW,2020-04-20 3:58:24,2020-04-20 4:26:22,1677.958,20,139,0,100,,34AE75B1,Poland,Poland,Part-Time,Polish,Poland,Male,Yes
5e9d1dd90f475924e02d7316,5db508259ca75a000d583b9a,AWAITING REVIEW,2020-04-20 3:58:17,2020-04-20 4:31:37,1999.666,18,44,0,100,,34AE75B1,Canada,Canada,Unemployed (and job seeking),English,Canada,Female,Yes
5e9d1df256b31c2493a33c91,565955077d6957000adfe029,AWAITING REVIEW,2020-04-20 3:58:56,2020-04-20 4:44:57,2760.789,24,29,0,100,,34AE75B1,United States,United States,Full-Time,English,United States,Female,Yes
5e9d1e015e1ac52515807c42,5c0ed000fd0c0a0001f881ea,AWAITING REVIEW,2020-04-20 3:59:26,2020-04-20 4:53:21,3234.958,41,99,0,100,,34AE75B1,Belarus,Israel,Full-Time,Russian,Israel,Female,No
5e9d1e0c18d39b2511be1b11,5db207ca8bc3c5000bda4172,AWAITING REVIEW,2020-04-20 3:59:30,2020-04-20 4:25:54,1584.192,22,34,0,100,,34AE75B1,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,Yes
5e9d1e0da4937d255023ee71,5c808557e07cd1001628cd77,AWAITING REVIEW,2020-04-20 3:59:16,2020-04-20 4:47:11,2874.749,30,84,1,100,,34AE75B1,Chile,Chile,Unemployed (and job seeking),Spanish,Chile,Female,No
5e9d1e114f816625f6809d66,5d159d0a8078020016aa60b9,AWAITING REVIEW,2020-04-20 3:59:14,2020-04-20 4:27:11,1677.627,24,70,1,100,,34AE75B1,Chile,Chile,Part-Time,Spanish,Chile,Male,Yes
5e9d1e12b9672e25662818eb,5c039076c96fdb0001910ed1,AWAITING REVIEW,2020-04-20 3:59:27,2020-04-20 4:30:45,1878.099,27,66,0,100,,34AE75B1,Australia,Australia,Full-Time,English,Lebanon,Male,No
5e9d1e203a47a425d9e4741c,5e4463b147cc252f05f4f2f6,AWAITING REVIEW,2020-04-20 3:59:28,2020-04-20 4:52:37,3188.481,27,25,1,97,,34AE75B1,France,France,Full-Time,French,France,Male,No
5e9d21d3124349248920c48f,5e7f9fd137169a6887857505,AWAITING REVIEW,2020-04-20 4:15:15,2020-04-20 4:48:06,1970.891,21,10,0,100,,34AE75B1,Chile,Chile,Unemployed (and job seeking),Spanish,Chile,Male,Yes
5e9d21dc8096a124ca46ae5c,5e84b97d70750d0786c6a05a,AWAITING REVIEW,2020-04-20 4:15:24,2020-04-20 4:40:17,1493.077,21,7,0,100,,34AE75B1,Portugal,Portugal,Unemployed (and job seeking),Portuguese,Portugal,Male,Yes
5e9d2b8eb3c35c258cec5055,58cd9587334d5b0001d64b02,AWAITING REVIEW,2020-04-20 4:57:03,2020-04-20 5:25:53,1730.308,24,148,1,100,,34AE75B1,Jordan,Germany,Part-Time,Arabic,Jordan,Male,Yes
5e9d2b9a8f22142579e3a81c,5c3e9912a301700001b71a35,AWAITING REVIEW,2020-04-20 4:57:06,2020-04-20 5:18:47,1300.495,22,183,2,100,,34AE75B1,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Male,No
5e9d2ba1778159250356ad27,5a216a08681a240001ff4071,AWAITING REVIEW,2020-04-20 4:57:09,2020-04-20 5:38:22,2472.728,26,25,0,100,,34AE75B1,Korea,Canada,Unemployed (and job seeking),Korean,Korea,Female,No
5e9d2ba10e7d2125495aea2e,5d8d03a1704e2300160ec8a6,AWAITING REVIEW,2020-04-20 4:57:18,2020-04-20 5:34:43,2244.566,28,52,0,100,,34AE75B1,Greece,Greece,Unemployed (and job seeking),Greek,Greece,Female,Yes
5e9d2ba4fb04e520ecde9c2c,5c5d27d700b69200011bc192,AWAITING REVIEW,2020-04-20 4:57:12,2020-04-20 5:16:31,1159.104,19,129,1,100,,34AE75B1,United States,United States,Unemployed (and job seeking),English,United States,Male,Yes
5e9d2ba9fb04e521400ab18b,5d89d199b97096000113dbd7,AWAITING REVIEW,2020-04-20 4:57:14,2020-04-20 5:39:00,2506.847,27,93,0,100,,34AE75B1,Mexico,Mexico,Full-Time,Spanish,Mexico,Female,Yes
5e9d2bab752af625820d2049,5c4271f51b4bf300018b0920,AWAITING REVIEW,2020-04-20 4:57:16,2020-04-20 5:16:33,1156.802,19,114,4,97,,34AE75B1,Portugal,Portugal,"Not in paid work (e.g. homemaker', 'retired or disabled)",Portuguese,Portugal,Male,Yes
5e9d2bacf06bc7247fc08ff1,5e84f93fef44ba0d50fdc8c7,AWAITING REVIEW,2020-04-20 4:57:23,2020-04-20 5:30:33,1989.121,34,3,0,100,,34AE75B1,Poland,Poland,Full-Time,Polish,Poland,Male,No
5e9d2cb08a23ac26018648b4,5e687fc5651f7d1259eac113,AWAITING REVIEW,2020-04-20 5:01:55,2020-04-20 5:46:27,2671.129,26,22,0,100,,34AE75B1,Canada,Canada,Part-Time,English,Canada,Male,Yes
5e9d33f7847bd12593ad95b0,5d718f211742e10017d5fc94,AWAITING REVIEW,2020-04-20 5:32:40,2020-04-20 6:27:36,3295.758,18,76,0,100,,34AE75B1,Chile,Chile,Unemployed (and job seeking),Spanish,Chile,Male,Yes
5e9d33f9146d59267c208a45,5e3e11a36a0b8a000c609d5e,AWAITING REVIEW,2020-04-20 5:32:41,2020-04-20 6:07:48,2106.94,31,40,0,100,,34AE75B1,Mexico,Mexico,Full-Time,Spanish,Mexico,Male,No
5e9d33f9ae168621a5fe2db5,5c878fa0a3413000165878a9,AWAITING REVIEW,2020-04-20 5:32:49,2020-04-20 5:53:07,1217.328,31,126,2,99,,34AE75B1,Australia,New Zealand,Full-Time,English,Australia,Male,No
5e9d34029a706b26334ba3e7,5e541f4f6567b5423b7808c5,AWAITING REVIEW,2020-04-20 5:36:04,2020-04-20 6:19:09,2585.478,23,25,0,100,,34AE75B1,Albania,Greece,Other,Greek,Greece,Male,Yes
5e9d34054fba22253eb826b7,5e445abe3641532e49d34fc8,AWAITING REVIEW,2020-04-20 5:34:00,2020-04-20 6:37:24,3803.87,19,28,1,100,,34AE75B1,Poland,,Part-Time,Polish,Poland,Male,Yes
5e9d34f6eca6042685062715,5e793ab51aff8103623757be,AWAITING REVIEW,2020-04-20 5:36:59,2020-04-20 6:05:12,1693.119,21,10,1,87,,34AE75B1,Philippines,Australia,Unemployed (and job seeking),Tagalog-Filipino,Philippines,Female,Yes
5e9d3f2c035d9026d6387407,5e68691662358c10f5adb901,AWAITING REVIEW,2020-04-20 6:20:29,2020-04-20 6:56:30,2161.609,36,29,0,100,,34AE75B1,Canada,Canada,Part-Time,English,Canada,Male,No
5e9d3f2da5f6642711b819c1,5e6714b93b1ae14a8f4bce8e,AWAITING REVIEW,2020-04-20 6:20:29,2020-04-20 7:04:13,2623.699,29,33,0,100,,34AE75B1,Hong Kong,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",Chinese,Hong Kong,Male,No
5e9d3f2ed2c58526547cbc6b,5cd74735c78b7d0001f9b364,AWAITING REVIEW,2020-04-20 6:20:30,2020-04-20 7:09:02,2912.006,28,156,0,100,,34AE75B1,Italy,Spain,Full-Time,Italian,Italy,Male,No
5e9d3f2f53d794266f835005,5c955419bd4bd9001995fa47,AWAITING REVIEW,2020-04-20 6:20:41,2020-04-20 7:10:07,2965.954,41,125,2,99,,34AE75B1,Denmark,Denmark,Full-Time,Danish,Denmark,Male,No
5e9d3f311c249026fed56145,5d6ff13f0fbfc50018f710fc,AWAITING REVIEW,2020-04-20 6:21:00,2020-04-20 6:49:38,1717.565,19,50,1,100,,34AE75B1,Italy,Italy,Part-Time,Italian,Italy,Male,Yes
5e9d3f34d0615e2597464423,5bd639e24b4f9e0001135cc6,AWAITING REVIEW,2020-04-20 6:20:37,2020-04-20 7:02:47,2529.722,24,70,0,100,,34AE75B1,India,United States,Full-Time,English,India,Male,Yes
5e9d3f369fb53d21ff952449,5e9bd991b7e3500ebc3028b8,AWAITING REVIEW,2020-04-20 6:20:43,2020-04-20 6:48:58,1694.996,23,1,0,100,,34AE75B1,United States,United States,Part-Time,English,United States,Male,Yes
5e9d3f392fb61625fb3fe995,589b7f625e63bf00013b2e5a,AWAITING REVIEW,2020-04-20 6:20:53,2020-04-20 6:51:52,1859.029,31,218,2,100,,34AE75B1,Poland,Poland,Part-Time,Polish,Poland,Male,No
5e9d430a4f816627788af1c4,5e9bb7be6fe8620cd407d2a9,AWAITING REVIEW,2020-04-20 6:36:59,2020-04-20 7:11:02,2043.372,25,0,0,100,,34AE75B1,Chile,Chile,Other,Spanish,Chile,Male,Yes
5e9d4ba087010300088971f7,5d7df958cb6cf00001399929,AWAITING REVIEW,2020-04-20 7:13:36,2020-04-20 7:49:03,2127.383,39,76,0,100,,34AE75B1,Hungary,Hungary,Full-Time,Hungarian,Hungary,Male,No
